Designator,Comment,Layer,Footprint,Center-X(mm),Center-Y(mm),Rotation,Description
R402,4.7k,Bottom,RESC3216X60X45ML15T20,19.525,76.1,0,"Chip Resistor, 4.7 KOhm, +/- 1%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric), RoHS, Tape and Reel"
R527,100k,Top,RESC3216X60X45NL10T20,103.1,85.2,180,
S801,500SSP1S2M2QEA,Top,500SSP1S2M2QEA,31.0563,9.3215,90,Connector
S802,500SSP1S2M2QEA,Top,500SSP1S2M2QEA,47.0563,9.3805,90,Connector
S814,500SSP1S2M2QEA,Top,500SSP1S2M2QEA,48.7,30.7773,270,Connector
190,61201021621,Top,CON-M-THT-61201021621,98.9,7.3123,270,"WR-BHD Male Box Header, 2.54mm pitch, 10 pin, Vertical, Double row"
C712,10uF,Top,CAPC3216X190N-1,68.66,91.96,270,CAP / CERA / 10uF / 50V / 20% / X5R (EIA) / -55°C to 85°C / 1206 (3216) / SMD / -
R569,10k,Top,3361P1103GLF,97.6,112.44,180,Variable Resistor
U520,LM339PWR,Top,SOP65P640X120-14N-1,111.552,96.49,270,Quad Differential Comparator
C715,220uF,Top,CAPAE1030X1050N-3,85.56,91.26,0,CAP / ELCO / 220uF / 50V / 20% / Aluminiumelectrolytic / -55°C to 105°C / 10.30mm L X 10.30mm W X 10.50mm H / - / -
R803,4.7k,Top,RESC3216X60X45ML15T20,52.9563,13.2805,0,"Chip Resistor, 4.7 KOhm, +/- 1%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric), RoHS, Tape and Reel"
D400,"PMEG3010ER,115",Top,PMEG3010ER115,29.2998,67.1485,0,Schottky Diode
R610,2.2k,Top,FP-CRCW1206-e3-IPC_C,76.6,72.1,0,"RES Thick Film, 2.2kO, 1%, 0.25W, 100ppm/°C, 1206"
U420,TSC2010HYDT,Top,FP-SO8-IPC_C,84.4,67.8,180,IC CURRENT SENSE 1 CIRCUIT 8SOIC
C600,100nF,Bottom,FP-1206-L_3_2_0_2-W_1_6_0-MFG,83.3,68,0,"General Purpose Ceramic Capacitor, 1206, 100nF, 10%, X7R, 15%, 100V"
J715,61300211121,Top,CON-M-THT-61300211121,72.56,85.56,90,"Header, 2.54mm Pitch, 2 pin, Vertical, Single Row"
J710,61300211121,Top,CON-M-THT-61300211121,68.06,85.56,90,"Header, 2.54mm Pitch, 2 pin, Vertical, Single Row"
J421,61300211121,Top,CON-M-THT-61300211121,63.1818,56.8042,0,"Header, 2.54mm Pitch, 2 pin, Vertical, Single Row"
R565,100k,Top,RESC3216X60X45NL10T20,103.1,95.1,0,
R564,47k,Top,RESC3216X60X45LL10T20,97.6,95.1,0,
NTC,10k,Top,RESC1608X95N-1,97.6,81.9,180,RES / NTC / 10k / 100mW / 1% / - / -40°C to 125°C / 0603(1608) / SMD / -
R562,10k,Top,RESC3116X65X50NL20T20,97.6,85.2,0,
R561,4.7k,Top,RESC3216X60X45ML15T20,97.6,91.8,180,"Chip Resistor, 4.7 KOhm, +/- 1%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric), RoHS, Tape and Reel"
R560,22k,Top,FP-CRCW1206-e3-IPC_A,97.6,88.5,0,"RES Thick Film, 22kO, 1%, 0.25W, 100ppm/°C, 1206"
R554,4.7k,Top,RESC3216X60X45ML15T20,108.54,65.84,90,"Chip Resistor, 4.7 KOhm, +/- 1%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric), RoHS, Tape and Reel"
Q503,ISS17EP06LM,Top,SOT95P240X110-3N-1-V,115.44,65.54,0,"OptiMOSTM Small Signal Transistor, -60 V"
D530,BAT54-05,Top,SOT95P240X110-3N-1-V,117.94,90.84,180,"Silicon Schottky Diode, LS(nH) 1.8, VR 30V"
D504,Red,Top,LEDSC160X80X80-2N-1,112.14,65.64,270,"WL-SMCW SMT Mono-color Chip LED Waterclear, Red,630nm"
C561,100nF,Bottom,CAPC3216X125N-0,113.9,91.8,180,CAP / CERA / 100nF / 50V / 10% / X7R (EIA) / -55°C to 125°C / 1206(3216) / SMD / -
C560,100nF,Bottom,CAPC3216X125N-0,113.9,94.5,180,CAP / CERA / 100nF / 50V / 10% / X7R (EIA) / -55°C to 125°C / 1206(3216) / SMD / -
Q400,BSC067N06LS3_G,Top,BSC080N03LSG,17.5493,65.3486,90,MOSFET (N-Channel)
R160,10k,Top,POT-THT-3362P,49.63,47.16,90,"RES / VAR / 10k / 500mW / 10% / 100ppm/K / -55°C to 125°C / Potentiometer, THT, 2.54 mm pitch, 3 pin, 6.60 mm L X 6.99 mm W X 15.06 mm H body / THT / -"
X100,973 582-101,Bottom,CON-THT-973_582-_101,31.5,107.25,270,"Banana Socket, Red, 17.5mm Pitch"
U400,LTC4449EDCBTRMPBF,Top,DFN200X300X80-9N,27,64.5,0,High Speed Synchronous N-Channel MOSFET Driver
Q202,ISS17EP06LM,Top,SOT95P240X110-3N-1-V,19.6993,102.8013,0,"OptiMOSTM Small Signal Transistor, -60 V"
R721,22k,Top,FP-CRCW1206-e3-IPC_A,67.0522,60.1333,0,"RES Thick Film, 22kO, 1%, 0.25W, 100ppm/°C, 1206"
X140,CES-105-01-L-S,Top,CES-105-XX-Y-S,2.0393,57.0613,270,Connector
U540,"HEF4043BT,653",Top,SOIC127P600X175-16N-6,109.54,108.34,0,Quad R/S latch with 3-state outputs
TP630,5010,Top,CON-THT-TP-5010,69.46,102.36,90,"PC Test Point-Multipurpose THT, Red"
TP600,5010,Top,CON-THT-TP-5010,91.5,73.6,90,"PC Test Point-Multipurpose THT, Red"
TP532,5010,Top,CON-THT-TP-5010,100.9,72.4,90,"PC Test Point-Multipurpose THT, Red"
TP431,5010,Top,CON-THT-TP-5010,77.3,61.7,270,"PC Test Point-Multipurpose THT, Red"
TP401,5010,Top,CON-THT-TP-5010,34.7,59.8,0,"PC Test Point-Multipurpose THT, Red"
TP400,5010,Top,CON-THT-TP-5010,29.9,41.4,270,"PC Test Point-Multipurpose THT, Red"
TP320,5010,Top,CON-THT-TP-5010,67.5,79.9,90,"PC Test Point-Multipurpose THT, Red"
TP211,5010,Top,CON-THT-TP-5010,2.1393,66.4413,270,"PC Test Point-Multipurpose THT, Red"
TP160,5010,Top,CON-THT-TP-5010,45.8275,52.7273,180,"PC Test Point-Multipurpose THT, Red"
TP105,5011,Top,CON-THT-TP-5011,40.8,93.2,90,"PC Test Point-Multipurpose THT, Black"
TP104,5011,Top,CON-THT-TP-5011,113.4,56.3,270,"PC Test Point-Multipurpose THT, Black"
TP102,5011,Top,CON-THT-TP-5011,15.7993,98.1013,0,"PC Test Point-Multipurpose THT, Black"
S812,1301.9314,Top,SW-SMD-1301.9314,37.5393,48.6,180,"Pushbutton Tactile Switch, Single Pole Single Throw, 4 Pins"
S810,1301.9314,Top,SW-SMD-1301.9314,20.339,48.6,180,"Pushbutton Tactile Switch, Single Pole Single Throw, 4 Pins"
S800,500SSP1S2M2QEA,Top,500SSP1S2M2QEA,15.0955,9.3218,90,Connector
S560,1301.9314,Top,SW-SMD-1301.9314,86.6274,107.8626,90,"Pushbutton Tactile Switch, Single Pole Single Throw, 4 Pins"
S200,500SSP1S2M2QEA,Top,500SSP1S2M2QEA,3.9993,83.4013,90,Connector
S110,1301.9314,Top,SW-SMD-1301.9314,114.2,13.5,270,"Pushbutton Tactile Switch, Single Pole Single Throw, 4 Pins"
R814,18k,Top,FP-CRCW1206-e3-IPC_C,53.4,30.2,270,"RES Thick Film, 18kO, 1%, 0.25W, 100ppm/°C, 1206"
R813,64.9k,Top,RESC3216X60N,30.7393,48.6,180,RES / STD / 64.9k / 250mW / 1% / 100ppm/K / -55°C to 155°C / 1206(3216) / SMD / -
R812,47k,Top,RESC3216X60X45LL10T20,35.1,53.2,180,
R811,64.9k,Top,RESC3216X60N,13.9393,48.6,180,RES / STD / 64.9k / 250mW / 1% / 100ppm/K / -55°C to 155°C / 1206(3216) / SMD / -
R810,47k,Top,RESC3216X60X45LL10T20,17.9,53.4,180,
R806,4.7k,Top,RESC3216X60X45ML15T20,23.9,38.6,270,"Chip Resistor, 4.7 KOhm, +/- 1%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric), RoHS, Tape and Reel"
R805,4.7k,Top,RESC3216X60X45ML15T20,23.9,33.5,270,"Chip Resistor, 4.7 KOhm, +/- 1%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric), RoHS, Tape and Reel"
R804,4.7k,Top,RESC3216X60X45ML15T20,23.9,28.5,270,"Chip Resistor, 4.7 KOhm, +/- 1%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric), RoHS, Tape and Reel"
R802,4.7k,Top,RESC3216X60X45ML15T20,36.9563,13.2805,0,"Chip Resistor, 4.7 KOhm, +/- 1%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric), RoHS, Tape and Reel"
R801,4.7k,Top,RESC3216X60X45ML15T20,23.9,23.8,270,"Chip Resistor, 4.7 KOhm, +/- 1%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric), RoHS, Tape and Reel"
R800,4.7k,Top,RESC3216X60X45ML15T20,20.9955,13.2805,0,"Chip Resistor, 4.7 KOhm, +/- 1%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric), RoHS, Tape and Reel"
R722,4.7k,Top,RESC3216X60X45ML15T20,62.3529,60.132,0,"Chip Resistor, 4.7 KOhm, +/- 1%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric), RoHS, Tape and Reel"
R553,4.7k,Top,RESC3216X60X45ML15T20,108.44,72.44,90,"Chip Resistor, 4.7 KOhm, +/- 1%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric), RoHS, Tape and Reel"
