Quantity,Article Number,Designator,Value,Manufacturer,Manufacturer Order Number,Combined Parameters,Fitted,Part Type,PackageReference,SheetNumber,Supplier 1,Supplier 2,Supplier 3,Supplier Part Number 1,Supplier Part Number 2,Supplier Part Number 3
"13","423882","D321, D402, D404, D405, D411, D432, D434, D435, D441, D442, D443, D511, D515","BAS70-04","Infineon Technologies","BAS70-04","Vf:880mV;If:70mA;Ur:70V;Ir:100nA;Pmax:250mW","Fitted","Diode","SOT23","4, 5, 6","Farnell","DigiKey","Mouser","1056501","BAS7004E6327HTSA1TR-ND","726-BAS7004E6327HTSA"
"3","659610","D410, D433, D440","15V","Nexperia","BZX84-C15,215","Vf:900mV;If:10mA;Ur:10.5V;Ir:50nA;Pmax:250mW","Fitted","Diode","SOT-23","5","Farnell","DigiKey","Mouser","2319204","1727-4248-1-ND","771-BZX84-C15-T/R"
"1","646377","D730","SMC5K40A-M3/I","Vishay","SMC5K40A-M3/I","Vf:-;If:-;Ur:40V;Ir:-;Pmax:5kW","Fitted","Diode","SMC (DO-214AB)","8","Farnell","DigiKey","Mouser","","SMC5K40A-M3/IGICT-ND","78-SMC5K40A-M3/I"
"1","646087","D731","PMEG6030ETPX","Nexperia","PMEG6030ETPX","Vf:530mV;If:4.2A;Ur:60V;Ir:200uA;Pmax:750mW","Fitted","Diode","SOD128","8","Farnell","DigiKey","Mouser","2311228","1727-1348-1-ND","771-PMEG6030ETPX"
"3","646372","D740, D742, D744","BAT54-06W","Infineon Technologies","BAT54-06W","Vf:800mV;If:200mA;Ur:30V;Ir:2uA;Pmax:230mW","Fitted","Diode","PG-SOT323-3-1","8","Farnell","DigiKey","Mouser","2787842","BAT5406WH6327XTSA1TR-ND",""
"1","427917","G300","TLS805B1LDV","Infineon Technologies","TLS805B1LDV","Linear Not applicable -;Vo:1.2V to 42V","Fitted","Power Supply","PG-TSON-10","4","Farnell","DigiKey","Mouser","2780914","TLS805B1LDVXUMA1TR-ND","726-TLS805B1LDVXUMA1"
"1","673169","G310","TPS7B8333QDCYRQ1","Texas Instruments","TPS7B8333QDCYRQ1","- - -;Vo:1.2V to 18V","Fitted","Power Supply","SOT-223-4","4","Farnell","DigiKey","Mouser","","296-TPS7B8333QDCYRQ1CT-ND","595-TPS7B8333QDCYRQ1"
"1","671339","G320","MCP16301T-E/CH","Microchip Technology","MCP16301T-E/CH","Linear DC/DC -;Vo:2V to 15V","Fitted","Power Supply","SOT-23-6","4","Farnell","DigiKey","Mouser","2809949","MCP16301T-E/CHCT-ND","579-MCP16301T-E/CH"
"1","651705","JP110","61301221121","Wurth Elektronik","61301221121","Board-to-Board Header (male);2x6;Mounting:THT;Orient:0° (vertical);Shielded:No","Fitted","Connector","2.54mm THT","2","Farnell","DigiKey","Mouser","2356134","732-5297-ND","710-61301221121"
"2","638527","JP111, JP112","61301621121","Wurth Elektronik","61301621121","Board-to-Board Header (male);8x2;Mounting:THT;Orient:0° (vertical);Shielded:No","Fitted","Connector","THT","2","Farnell","DigiKey","Mouser","2356136","732-5299-ND","710-61301621121"
"5","633993","JP120, JP122, JP123, JP124, JP128","61300311121","Wurth Elektronik","61300311121","Board-to-Cable Header (male);3x1;Mounting:THT;Orient:0° (vertical);Shielded:No","Fitted","Connector","THT","2","Farnell","DigiKey","Mouser","2356154","732-5316-ND","710-61300311121"
"9","386760","JP125, JP126, JP127, JP212, JP421, JP701, JP723, TP421, X720","61300211121","Wurth Elektronik","61300211121","Board-to-Board Header (male);2x1;Mounting:THT;Orient:0° (vertical);Shielded:No","Fitted","Connector","","2, 3, 5, 8","Farnell","DigiKey","Mouser","2356153","732-5315-ND","710-61300211121"
"1","624445","JP710","61300421121","Wurth Elektronik","61300421121","Board-to-Board Header (male);2x2;Mounting:THT;Orient:0° (vertical);Shielded:No","Fitted","Connector","THT","8","Farnell","DigiKey","Mouser","2356130","732-5294-ND","710-61300421121"
"1","638654","L320","22uH","Wurth Elektronik","74404064220","Tol.:-20%/+20%;Rdc:89mR;Idc:2.1A;Fres:15MHz","Fitted","Inductor","SMD","4","Farnell","DigiKey","Mouser","2431542","732-5554-1-ND","710-74404064220"
"1","657324","L420","27uH","Wurth Elektronik","7447709270","Tol.:-20%/+20%;Rdc:40mR;Idc:4.6A;Fres:8MHz","Fitted","Inductor","1210","5","Farnell","DigiKey","Mouser","2211547","732-4121-1-ND","710-7447709270"
"1","657326","L421","15uH","Bourns","SRP6060FA-150M","Tol.:-20%/+20%;Rdc:43mR;Idc:5.8A;Fres:11MHz","Fitted","Inductor","6.6 x 6.4 mm","5","Farnell","DigiKey","Mouser","2901829","SRP6060FA-150MCT-ND","652-SRP6060FA-150M"
"4","455343","MP100, MP101, MP102, MP103","0082 3 16","Wurth Elektronik","0082 3 16","Steel Hexagonal 19x5.68 Screw","Fitted","Mechanical","THT","2","Farnell","DigiKey","Mouser","","",""
"13","644598","Q124, Q130, Q550, Q551, Q552, Q553, Q740, Q742, Q744, Q800, Q802, Q804, Q806","BSS816NW","Infineon Technologies","BSS816NW","N-Channel Enhancement;Uds:20V;Id:1.4A;Rds:240R;P:500mW","Fitted","Transistor FET","PG-SOT323-3-2","2, 6, 8, 9","Farnell","DigiKey","Mouser","2617470","BSS816NWH6327XTSA1CT-ND","726-SP000917562"
"2","644075","Q200, Q201","IPD650P06NM","Infineon Technologies","IPD650P06NM","P-Channel Enhancement;Uds:-60V;Id:-22A;Rds:65R;P:83W","Fitted","Transistor FET","PG-TO252-3-313","3","Farnell","DigiKey","Mouser","3267848","448-IPD650P06NMATMA1CT-ND","726-IPD650P06NMATMA1"
"1","422992","Q202","BSS84PH6327XTSA2","Infineon Technologies","BSS84PH6327XTSA2","P-Channel;Uds:-60V;Id:-170mA;Rds:12R;P:360mW","Fitted","Transistor FET","PG-SOT23","3","Farnell","DigiKey","Mouser","1056526","BSS84PH6327XTSA2TR-ND","726-BSS84PH6327XTSA2"
"7","422114","Q400, Q401, Q430, Q431, Q741, Q743, Q745","BSZ100N06NS","Infineon Technologies","BSZ100N06NS","N-Channel;Uds:60V;Id:40A;Rds:10mR;P:36W","Fitted","Transistor FET","PG-TSDSON-8 FL","5, 8","Farnell","DigiKey","Mouser","2709918","BSZ100N06NSATMA1TR-ND","726-BSZ100N06NSATMA1"
"4","644055","R103, R211, R420, R421","15mR","Ohmite","L4T12FR015FER","TCR:75ppm/K;Tol.:-1%/+1%;Vdc:-;Idc:-;P:500mW","Fitted","Resistor","1206 (3216)","2, 3, 5","Farnell","DigiKey","Mouser","3274221","273-L4T12FR015FERCT-ND","284-L4T12FR015FER"
"22","346552","R110, R111, R112, R130, R200, R202, R203, R205, R209, R220, R411, R441, R503, R504, R508, R512, R521, R528, R800, R802, R804, R806","47k","Vishay","CRCW060347K0FK","TCR:100ppm/K;Tol.:-1%/+1%;Vdc:75V;Idc:-;P:100mW","Fitted","Resistor","0603","2, 3, 5, 6, 9","Farnell","DigiKey","Mouser","","541-47.0KHCT-ND",""
"11","346742","R122, R123, R320, R505, R506, R507, R509, R513, R740, R742, R744","100k","Vishay","CRCW0603100KFK","TCR:100ppm/K;Tol.:-1%/+1%;Vdc:75V;Idc:-;P:100mW","Fitted","Resistor","0603","2, 4, 6, 8","Farnell","DigiKey","Mouser","1469649","",""
"8","345662","R124, R131, R322, R410, R440, R631, R633, R722","1.3k","Vishay","CRCW06031K30FK","TCR:100ppm/K;Tol.:-1%/+1%;Vdc:75V;Idc:-;P:100mW","Fitted","Resistor","0603","2, 4, 5, 7, 8","Farnell","DigiKey","Mouser","","",""
"4","630020","R160, R524, R531, R611","10k","Bourns","3361P-1-103GLF","TCR:100ppm/K;Tol.:-10%/+10%;Vdc:-;Idc:-;P:500mW","Fitted","Resistor","SMD","2, 6, 7","Farnell","DigiKey","Mouser","1696060","3361P-103GLFCT-ND","652-3361P-1-103GLF"
"6","344622","R170, R400, R401, R430, R431, R720","20R","Vishay","CRCW060320R0FK","TCR:100ppm/K;Tol.:-1%/+1%;Vdc:75V;Idc:-;P:100mW","Fitted","Resistor","0603","2, 5, 8","Farnell","DigiKey","Mouser","","",""
"2","347472","R204, R208","2MEG","Vishay","CRCW06032M00FK","TCR:100ppm/K;Tol.:-1%/+1%;Vdc:75V;Idc:-;P:100mW","Fitted","Resistor","0603","3","Farnell","DigiKey","Mouser","","",""
"6","346637","R206, R562, R632, R634, R811, R813","64.9k","Vishay","CRCW060364K9FK","TCR:100ppm/K;Tol.:-1%/+1%;Vdc:75V;Idc:-;P:100mW","Fitted","Resistor","0603","3, 6, 7, 9","Farnell","DigiKey","Mouser","","",""
"12","346302","R207, R210, R301, R321, R500, R522, R529, R721, R741, R743, R745, R814","17.8k","Vishay","CRCW060317K8FK","TCR:100ppm/K;Tol.:-1%/+1%;Vdc:75V;Idc:-;P:100mW","Fitted","Resistor","0603","3, 4, 6, 8, 9","Farnell","DigiKey","Mouser","","",""
